Country,Installed_Capacity_MW,Energy_Consumption,Renewable_Energy_Jobs,Public_Awareness,Educational_Level,Number_of_Research_Institutions,Awareness_Group
Australia,258706.05,421279.68,580895.10,4.29,4.64,708.10,Low
Brazil,330144.13,566836.00,521483.40,5.58,6.59,482.60,High
Canada,323265.96,535398.26,414266.47,5.88,5.89,538.53,High
China,356304.88,453162.89,522652.75,5.92,4.29,650.08,High
France,338384.47,422343.24,363228.00,4.58,4.66,534.08,Low
Germany,368975.29,508774.32,479474.67,5.30,4.50,481.17,High
India,247812.72,515376.46,624590.60,4.87,5.87,400.50,Low
Japan,398155.52,579426.48,602121.25,4.46,3.56,454.25,Low
Russia,239558.76,569298.65,590620.56,5.11,4.48,540.67,High
USA,203760.46,552852.99,629997.88,4.61,5.22,546.12,Low
